name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Vetluga,24169,Valid,Eucrite-mmict,750,Fell,1949,57.800000,45.800000,"(57.8, 45.8)"
Vigarano,24174,Valid,CV3,15000,Fell,1910,44.850000,11.400000,"(44.85, 11.4)"
Villalbeto de la Peña,24179,Valid,L6,3500,Fell,2004,42.800000,-4.666670,"(42.8, -4.66667)"
Vilna,24183,Valid,L5,0.1,Fell,1967,54.225000,-111.691670,"(54.225, -111.69167)"
Virba,24185,Valid,L6,3600,Fell,1873,43.533330,22.633330,"(43.53333, 22.63333)"
Vishnupur,24187,Valid,LL4-6,2437,Fell,1906,23.100000,87.433330,"(23.1, 87.43333)"
Vissannapeta,24188,Valid,Eucrite-cm,1303.8,Fell,1997,16.833330,80.750000,"(16.83333, 80.75)"
Visuni,24189,Valid,H6,594,Fell,1915,25.450000,70.000000,"(25.45, 70.0)"
Vouillé,24191,Valid,L6,20000,Fell,1831,46.633330,0.166670,"(46.63333, 0.16667)"
Walters,24210,Valid,L6,28100,Fell,1946,34.333330,-98.300000,"(34.33333, -98.3)"
Warrenton,24215,Valid,CO3.7,1600,Fell,1877,38.683330,-91.150000,"(38.68333, -91.15)"
Washougal,24218,Valid,Howardite,225,Fell,1939,45.583330,-122.350000,"(45.58333, -122.35)"
Werdama,47344,Valid,H5,4000,Fell,2006,32.797320,21.787130,"(32.79732, 21.78713)"
Wessely,24244,Valid,H5,3750,Fell,1831,48.950000,17.383330,"(48.95, 17.38333)"
Weston,24249,Valid,H4,150000,Fell,1807,41.266667,-73.266667,"(41.266667, -73.266667)"
Wethersfield (1971),24250,Valid,L6,350,Fell,1971,41.700000,-72.650000,"(41.7, -72.65)"
Wethersfield (1982),24251,Valid,L6,2756,Fell,1982,41.710560,-72.673610,"(41.71056, -72.67361)"
Whetstone Mountains,49514,Valid,H5,2138.7399999999998,Fell,2009,31.961850,-110.434183,"(31.96185, -110.434183)"
Wiluna,24281,Valid,H5,150000,Fell,1967,-26.592780,120.328330,"(-26.59278, 120.32833)"
Witklip Farm,24321,Valid,H5,22,Fell,1918,-26.000000,30.000000,"(-26.0, 30.0)"
Witsand Farm,24322,Valid,LL4,66,Fell,1932,-28.666670,18.916670,"(-28.66667, 18.91667)"
Wittekrantz,24323,Valid,L5,2200,Fell,1880,-32.500000,23.000000,"(-32.5, 23.0)"
Wolamo,24324,Valid,OC,166.4,Fell,1964,9.000000,39.000000,"(9.0, 39.0)"
Wold Cottage,24325,Valid,L6,25000,Fell,1795,54.136670,-0.413330,"(54.13667, -0.41333)"
Woolgorong,24334,Valid,L6,36000,Fell,1960,-27.750000,115.833330,"(-27.75, 115.83333)"
Worden,24337,Valid,L5,1551,Fell,1997,42.384670,-83.611500,"(42.38467, -83.6115)"
Wuan,24340,Valid,H6,50000,Fell,1986,36.750000,114.250000,"(36.75, 114.25)"
Xi Ujimgin,24345,Valid,L/LL6-an,5900,Fell,1980,44.666670,117.500000,"(44.66667, 117.5)"
Xingyang,24346,Valid,H6,75500,Fell,1977,32.333330,114.316670,"(32.33333, 114.31667)"
Yafa,24351,Valid,H5,5700,Fell,2000,13.711110,45.170000,"(13.71111, 45.17)"
Yambo,30345,Valid,H5,4,Fell,1951,1.000000,22.500000,"(1.0, 22.5)"
Yangchiang,30348,Valid,H5,20000,Fell,1954,21.833330,111.833330,"(21.83333, 111.83333)"
Yanzhuang,30350,Valid,H6,3500,Fell,1990,24.566670,114.166670,"(24.56667, 114.16667)"
Yardymly,30352,Valid,"Iron, IAB complex",150200,Fell,1959,38.933330,48.250000,"(38.93333, 48.25)"
Yatoor,30358,Valid,H5,13600,Fell,1852,14.300000,79.766670,"(14.3, 79.76667)"
Yonozu,30366,Valid,H4/5,31650,Fell,1837,37.750000,139.000000,"(37.75, 139.0)"
Yorktown (New York),30370,Valid,L5,250,Fell,1869,41.283330,-73.816670,"(41.28333, -73.81667)"
Yoshiki,30372,Valid,Stone-uncl,0.1,Fell,1928,34.166670,131.450000,"(34.16667, 131.45)"
Yukan,30377,Valid,LL6,4800,Fell,1931,28.716670,116.616670,"(28.71667, 116.61667)"
Yurtuk,30378,Valid,Howardite,1472,Fell,1936,47.316670,35.366670,"(47.31667, 35.36667)"
